time,state_x_0,deriv_dx_0,C1_dq_0,R2_p0_e,R2_p0_f,C1_p0_e,C1_p0_f,j1_11_p0_e,j1_11_p0_f,j1_11_p1_e,j1_11_p1_f,j1_11_p2_e,j1_11_p2_f,SS3_p0_e,SS3_p0_f,C1_q_0,R2_p0_power,C1_p0_power,j1_11_p0_power,j1_11_p1_power,j1_11_p2_power,SS3_p0_power
0.0,1.0,-1.9032629038430116,0.09673709615698844,2.0,2.0,-1.0,2.0,-1.0,-2.0,2.0,-2.0,-1.0,-2.0,-1.0,2.0,0.0,4.0,-2.0,2.0,-4.0,2.0,-2.0
0.1,0.8096737096156988,-1.8126980637248997,-0.0030243541092009885,1.8096737096156987,1.8096737096156987,-0.8096737096156988,1.8096737096156987,-1.0,-1.8096737096156987,1.8096737096156987,-1.8096737096156987,-0.8096737096156988,-1.8096737096156987,-1.0,1.8096737096156987,0.0,3.2749189352742443,-1.4652452256585458,1.8096737096156987,-3.2749189352742443,1.4652452256585458,-1.8096737096156987
0.2,0.63746038725502,-1.6401917857553636,-0.0027313985003436514,1.63746038725502,1.63746038725502,-0.63746038725502,1.63746038725502,-1.0,-1.63746038725502,1.63746038725502,-1.63746038725502,-0.63746038725502,-1.63746038725502,-1.0,1.63746038725502,0.0,2.68127651982936,-1.04381613257434,1.63746038725502,-2.68127651982936,1.04381613257434,-1.63746038725502
0.30000000000000004,0.48163535246462613,-1.4841064366058445,-0.002471084141218327,1.4816353524646262,1.4816353524646262,-0.48163535246462613,1.4816353524646262,-1.0,-1.4816353524646262,1.4816353524646262,-1.4816353524646262,-0.48163535246462613,-1.4816353524646262,-1.0,1.4816353524646262,0.0,2.195243317672977,-0.7136079652083508,1.4816353524646262,-2.195243317672977,0.7136079652083508,-1.4816353524646262
0.4,0.34063909993385105,-1.342874729388896,-0.002235629455044963,1.340639099933851,1.340639099933851,-0.34063909993385105,1.340639099933851,-1.0,-1.340639099933851,1.340639099933851,-1.340639099933851,-0.34063909993385105,-1.340639099933851,-1.0,1.340639099933851,0.0,1.7973131962714464,-0.45667409633759526,1.340639099933851,-1.7973131962714464,0.45667409633759526,-1.340639099933851
0.5,0.213060406586847,-1.2150833470303324,-0.002022940443485499,1.2130604065868469,1.2130604065868469,-0.213060406586847,1.2130604065868469,-1.0,-1.2130604065868469,1.2130604065868469,-1.2130604065868469,-0.213060406586847,-1.2130604065868469,-1.0,1.2130604065868469,0.0,1.4715155500286463,-0.25845514344179954,1.2130604065868469,-1.4715155500286463,0.25845514344179954,-1.2130604065868469
0.6000000000000001,0.09762243052778445,-1.09945287511005,-0.0018304445822656668,1.0976224305277844,1.0976224305277844,-0.09762243052778445,1.0976224305277844,-1.0,-1.0976224305277844,1.0976224305277844,-1.0976224305277844,-0.09762243052778445,-1.0976224305277844,-1.0,1.0976224305277844,0.0,1.2047749999977209,-0.10715256946993655,1.0976224305277844,-1.2047749999977209,0.10715256946993655,-1.0976224305277844
0.7000000000000001,-0.006830168435163082,-0.9948260614419155,-0.0016562298770785855,0.993169831564837,0.993169831564837,0.006830168435163082,0.993169831564837,-1.0,-0.993169831564837,0.993169831564837,-0.993169831564837,0.006830168435163082,-0.993169831564837,-1.0,0.993169831564837,0.0,0.9863863143305266,0.006783517234310384,0.993169831564837,-0.9863863143305266,-0.006783517234310384,-0.993169831564837
0.8,-0.10134278176059858,-0.9001558711815725,-0.001498652942170997,0.8986572182394015,0.8986572182394015,0.10134278176059858,0.8986572182394015,-1.0,-0.8986572182394015,0.8986572182394015,-0.8986572182394015,0.10134278176059858,-0.8986572182394015,-1.0,0.8986572182394015,0.0,0.8075847958937793,0.09107242234562227,0.8986572182394015,-0.8075847958937793,-0.09107242234562227,-0.8986572182394015
0.9,-0.18686134267147753,-0.8144947269458511,-0.0013560696173287035,0.8131386573285224,0.8131386573285224,0.18686134267147753,0.8131386573285224,-1.0,-0.8131386573285224,0.8131386573285224,-0.8131386573285224,0.18686134267147753,-0.8131386573285224,-1.0,0.8131386573285224,0.0,0.6611944760420322,0.15194418128649018,0.8131386573285224,-0.6611944760420322,-0.15194418128649018,-0.8131386573285224
1.0,-0.26424172714976873,-0.7369851665378252,-0.0012268936875938774,0.7357582728502312,0.7357582728502312,0.26424172714976873,0.7357582728502312,-1.0,-0.7357582728502312,0.7357582728502312,-0.7357582728502312,0.26424172714976873,-0.7357582728502312,-1.0,0.7357582728502312,0.0,0.5413402360675553,0.19441803678267588,0.7357582728502312,-0.5413402360675553,-0.19441803678267588,-0.7357582728502312
1.1,-0.33425837597904257,-0.6668516316490181,-0.001110007628060572,0.6657416240209575,0.6657416240209575,0.33425837597904257,0.6657416240209575,-1.0,-0.6657416240209575,0.6657416240209575,-0.6657416240209575,0.33425837597904257,-0.6657416240209575,-1.0,0.6657416240209575,0.0,0.4432119099540619,0.22252971406689562,0.6657416240209575,-0.4432119099540619,-0.22252971406689562,-0.6657416240209575
1.2000000000000002,-0.39761205347957246,-0.6033922894075006,-0.001004342887072962,0.6023879465204276,0.6023879465204276,0.39761205347957246,0.6023879465204276,-1.0,-0.6023879465204276,0.6023879465204276,-0.6023879465204276,0.39761205347957246,-0.6023879465204276,-1.0,0.6023879465204276,0.0,0.3628712381130975,0.23951670840733008,0.6023879465204276,-0.3628712381130975,-0.23951670840733008,-0.6023879465204276
1.3,-0.4549368338605426,-0.5459719442419424,-0.0009087781024850194,0.5450631661394574,0.5450631661394574,0.4549368338605426,0.5450631661394574,-1.0,-0.5450631661394574,0.5450631661394574,-0.5450631661394574,0.4549368338605426,-0.5450631661394574,-1.0,0.5450631661394574,0.0,0.2970938550819697,0.24796931105748765,0.5450631661394574,-0.2970938550819697,-0.24796931105748765,-0.5450631661394574
1.4000000000000001,-0.506806442327961,-0.4940158504288954,-0.0008222927568564131,0.493193557672039,0.493193557672039,0.506806442327961,0.493193557672039,-1.0,-0.493193557672039,0.493193557672039,-0.493193557672039,0.506806442327961,-0.493193557672039,-1.0,0.493193557672039,0.0,0.24323988532920285,0.24995367234283614,0.493193557672039,-0.24323988532920285,-0.24995367234283614,-0.493193557672039
1.5,-0.5537400039463216,-0.44700403340726336,-0.0007440373535849698,0.4462599960536784,0.4462599960536784,0.5537400039463216,0.4462599960536784,-1.0,-0.4462599960536784,0.4462599960536784,-0.4462599960536784,0.5537400039463216,-0.4462599960536784,-1.0,0.4462599960536784,0.0,0.19914798407782905,0.24711201197584934,0.4462599960536784,-0.19914798407782905,-0.24711201197584934,-0.4462599960536784
1.6,-0.5962072490094137,-0.4044659892243443,-0.0006732382337579779,0.4037927509905863,0.4037927509905863,0.5962072490094137,0.4037927509905863,-1.0,-0.4037927509905863,0.4037927509905863,-0.4037927509905863,0.5962072490094137,-0.4037927509905863,-1.0,0.4037927509905863,0.0,0.16304858575254563,0.24074416523804068,0.4037927509905863,-0.16304858575254563,-0.24074416523804068,-0.4037927509905863
1.7000000000000002,-0.6346332017911905,-0.3659759671536058,-0.0006091689447962345,0.36536679820880946,0.36536679820880946,0.6346332017911905,0.36536679820880946,-1.0,-0.36536679820880946,0.36536679820880946,-0.36536679820880946,0.6346332017911905,-0.36536679820880946,-1.0,0.36536679820880946,0.0,0.1334928972333569,0.23187390097545257,0.36536679820880946,-0.1334928972333569,-0.23187390097545257,-0.36536679820880946
1.8,-0.6694024424401348,-0.3311486932226315,-0.0005511356627663222,0.3305975575598652,0.3305975575598652,0.6694024424401348,0.3305975575598652,-1.0,-0.3305975575598652,0.3305975575598652,-0.3305975575598652,0.6694024424401348,-0.3305975575598652,-1.0,0.3305975575598652,0.0,0.10929474506454838,0.2213028124953168,0.3305975575598652,-0.10929474506454838,-0.2213028124953168,-0.3305975575598652
1.9000000000000001,-0.700862940435717,-0.2996352853596469,-0.0004982257953638491,0.29913705956428305,0.29913705956428305,0.700862940435717,0.29913705956428305,-1.0,-0.29913705956428305,0.29913705956428305,-0.29913705956428305,0.700862940435717,-0.29913705956428305,-1.0,0.29913705956428305,0.0,0.08948298040476542,0.20965407915951761,0.29913705956428305,-0.08948298040476542,-0.20965407915951761,-0.29913705956428305
